,credit,count,frequency
69,mrs. stanley resor fund (by exchange),25,0.0020297150280100674
70,gift of the celeste and armand bartos foundation,25,0.0020297150280100674
71,gift of leonard a. lauder,23,0.001867337825769262
72,gift of the architect in honor of lily auchincloss,23,0.001867337825769262
73,mary ellen meehan fund,22,0.0017861492246488593
74,gift of lewis & conger,22,0.0017861492246488593
75,"edgar kaufmann, jr. fund",21,0.0017049606235284567
76,gift of eimer & amend,21,0.0017049606235284567
77,gift of mr. and mrs. leo farland,19,0.0015425834212876512
78,gift of peter müller-munk,19,0.0015425834212876512
79,gift of leslie j. schreyer,18,0.0014613948201672485
80,gift of lucien goldschmidt,18,0.0014613948201672485
81,gift of mrs. jacquelynn shlaes,18,0.0014613948201672485
82,"gift of the royal society for the prevention of accidents, england",18,0.0014613948201672485
83,"gift of kleiner, bell & co.",18,0.0014613948201672485
84,gift of manfred ludewig,18,0.0014613948201672485
85,gift of emily fisher landau,18,0.0014613948201672485
86,gift of walter bareiss,17,0.001380206219046846
87,the associates fund,16,0.001299017617926443
88,acquired with matching funds from james r. epstein and the national endowment for the arts,16,0.001299017617926443
89,gift of jo carole and ronald s. lauder,16,0.001299017617926443
90,john r. jakobson foundation fund,16,0.001299017617926443
91,abby aldrich rockefeller fund (by exchange),16,0.001299017617926443
92,the associates fund in honor of riva castleman,15,0.0012178290168060404
93,gift of dorothy liebes,15,0.0012178290168060404
94,gift of the judith rothschild foundation (anonymous donation),15,0.0012178290168060404
95,the celeste and armand bartos foundation fund,15,0.0012178290168060404
96,gift of madame hector guimard,15,0.0012178290168060404
97,gift of miss jessie rosenfeld,15,0.0012178290168060404
98,gift of james thrall soby (by exchange),15,0.0012178290168060404
99,the joseph g. mayer foundation fund,15,0.0012178290168060404
100,gift of milton scheingarten,15,0.0012178290168060404
101,gift of the swiss government,14,0.0011366404156856378
102,gift of the designer and emilio ambasz fund,14,0.0011366404156856378
103,gift of george m. jaffin,14,0.0011366404156856378
104,"gift of patricia phelps de cisneros, takeo ohbayashi purchase fund, and susan de menil purchase fund",14,0.0011366404156856378
105,william k. simpson fund and purchase,14,0.0011366404156856378
106,gift of ricardo bofill taller de arquitectura,13,0.0010554518145652351
107,"gift of skidmore, owings and merrill",13,0.0010554518145652351
108,"gift of blanchette hooker rockefeller, mrs. gifford phillips, celeste and armand p. bartos, mrs. s. i. newhouse, jr., and purchase",13,0.0010554518145652351
109,a. conger goodyear fund,13,0.0010554518145652351
110,gift of the japan society,13,0.0010554518145652351
111,"edgar kaufmann, jr. purchase fund",13,0.0010554518145652351
112,gift of mr. and mrs. burton tremaine,13,0.0010554518145652351
113,celeste and armand bartos foundation,12,0.0009742632134448324
114,"gift of cordier & ekstrom, inc.",12,0.0009742632134448324
115,gift of mrs. constantine sidamon-eristoff,12,0.0009742632134448324
116,gift of william p. mangold,12,0.0009742632134448324
117,"gift of mr. and mrs. alfred h. barr, jr.",12,0.0009742632134448324
118,gift of mr. and mrs. stanley resor,12,0.0009742632134448324
119,friends of the department fund,12,0.0009742632134448324
120,peter stone poster fund,12,0.0009742632134448324
121,gift of richard miller,11,0.0008930746123244297
122,gift of mr. and mrs. e. powis jones,11,0.0008930746123244297
123,the philip and lynn straus foundation fund,11,0.0008930746123244297
124,"gift of a. j. van dugteren & sons, inc.",11,0.0008930746123244297
125,"mr. and mrs. ralph f. colin, leon a. mnuchin, and joanne m. stern fund",11,0.0008930746123244297
126,gift of james thrall soby,11,0.0008930746123244297
127,gift of echo engelmann,11,0.0008930746123244297
128,carol o. selle fund,11,0.0008930746123244297
129,gift of robert wolf,11,0.0008930746123244297
130,donald karshan fund,10,0.0008118860112040269
131,"gift of venturi, rauch and scott brown, inc.",10,0.0008118860112040269
132,gift of the joseph h. hazen foundation in honor of william s. lieberman,10,0.0008118860112040269
133,leonard and evelyn lauder fund,10,0.0008118860112040269
134,gift of morisawa & co. ltd.,10,0.0008118860112040269
135,"gift of mr. and mrs. edward larrabee barnes, roblee mccarthy, jr., jeffrey p. klein purchase fund, and purchase",10,0.0008118860112040269
136,"gift of lily auchincloss, barbara jakobson, and walter randel",10,0.0008118860112040269
137,gift of frank perls (by exchange),10,0.0008118860112040269
138,arthur drexler fund,10,0.0008118860112040269
139,gift of mrs. henry i. cobb and joanne m. stern fund,10,0.0008118860112040269
140,gift of edmund b. thorton,10,0.0008118860112040269
141,gift of greta daniel,10,0.0008118860112040269
142,best products company inc. architecture fund,10,0.0008118860112040269
143,gift of john c. waddell,9,0.0007306974100836243
144,gift of mrs. ruth vollmer,9,0.0007306974100836243
145,gift of the limited editions club,9,0.0007306974100836243
146,"gift of alfred h. barr, jr.",9,0.0007306974100836243
147,exchange,9,0.0007306974100836243
148,gift of the chase manhattan bank,9,0.0007306974100836243
149,gift of banca del gottardo,9,0.0007306974100836243
150,poster fund,9,0.0007306974100836243
151,gift of parkett,9,0.0007306974100836243
152,"gift of time, inc.",9,0.0007306974100836243
153,"gift of john d. rockefeller, 3rd",9,0.0007306974100836243
154,given anonymously in memory of mrs. alice lillia newhall,9,0.0007306974100836243
155,barbara jakobson purchase fund,9,0.0007306974100836243
156,mary ellen meehan fund and purchase,8,0.0006495088089632215
157,gift of the new york times,8,0.0006495088089632215
158,emilio ambasz fund,8,0.0006495088089632215
159,latin american fund,8,0.0006495088089632215
160,gift of mr. and mrs. armand p. bartos,8,0.0006495088089632215
161,gift of fraser's,8,0.0006495088089632215
162,joanne m. stern fund,8,0.0006495088089632215
163,gift of mrs. lawrence mead,8,0.0006495088089632215
164,greta daniel fund,8,0.0006495088089632215
165,zaidee dufallo fund,8,0.0006495088089632215
166,gift of susan hornik,8,0.0006495088089632215
167,"the riva castleman endowment fund, abby aldrich rockefeller fund (by exchange), mary ellen meehan fund, riva castleman fund, purchase, and purchase (by exchange)",8,0.0006495088089632215
168,gift of the ian woodner family collection,8,0.0006495088089632215
169,"gift of the college of fine arts, ucla",8,0.0006495088089632215
170,gift of tyler graphics in memory of joan mitchell,8,0.0006495088089632215
171,"gift of georg jensen, inc.",8,0.0006495088089632215
172,mrs. john d. rockefeller 3rd purchase fund,7,0.0005683202078428189
173,gift of s. s. spivack,7,0.0005683202078428189
174,gift of kynaston mcshine,7,0.0005683202078428189
175,given anonymously in memory of arnold and miriam elkind,7,0.0005683202078428189
176,lily auchincloss fund,7,0.0005683202078428189
177,frederieke taylor purchase fund,7,0.0005683202078428189
178,gift of mr. and mrs. ralph f. colin,7,0.0005683202078428189
179,gift of e. mcknight kauffer,7,0.0005683202078428189
180,seiden and de cuevas foundation fund,7,0.0005683202078428189
181,gift of the author,7,0.0005683202078428189
182,gift of gary essert,7,0.0005683202078428189
183,gift of harvey s. shipley miller,7,0.0005683202078428189
184,"gift of the stedelijk museum, amsterdam",7,0.0005683202078428189
185,"gift of d. stanley corcoran, inc.",7,0.0005683202078428189
186,"gift of david rockefeller, jr. fund, ira howard levy fund, and jeffrey p. klein purchase fund",7,0.0005683202078428189
187,don page fund,7,0.0005683202078428189
188,gift of della rothermel in honor of john petrik rothermel,6,0.0004871316067224162
189,gift of r.h. macy & co.,6,0.0004871316067224162
190,gift of push pin studios,6,0.0004871316067224162
191,gift of atelier international ltd.,6,0.0004871316067224162
192,mrs. gianluigi gabetti purchase fund,6,0.0004871316067224162
193,gift of victor s. riesenfeld,6,0.0004871316067224162
194,gift of mrs. stanley resor,6,0.0004871316067224162
195,gift of pan american world airways,6,0.0004871316067224162
196,gift of bonniers,6,0.0004871316067224162
197,gift of max palevsky,6,0.0004871316067224162
198,gift of the architects in honor of philip johnson,6,0.0004871316067224162
199,gift of nina and gordon bunshaft,6,0.0004871316067224162
200,gift of walter a. allner,6,0.0004871316067224162
201,kenneth walker fund,6,0.0004871316067224162
202,gift of the judith rothschild foundation (donation of tamar cohen and david slatoff),6,0.0004871316067224162
203,nea architecture and design fund and purchase,6,0.0004871316067224162
204,gift of bell laboratories,6,0.0004871316067224162
205,gift of alice and leslie j. schreyer,6,0.0004871316067224162
206,gift of mrs. donald b. straus,6,0.0004871316067224162
207,gift of celeste bartos,6,0.0004871316067224162
208,gift of panasonic company,6,0.0004871316067224162
209,"gift of the designer through the u.s. art directors club, inc., new york",6,0.0004871316067224162
210,architecture & design purchase fund,5,0.00040594300560201345
211,"gift of graphisches kabinett, saarbrucken",5,0.00040594300560201345
212,gift of the glasgow school of art,5,0.00040594300560201345
213,gift of the designer in memory of greta daniel,5,0.00040594300560201345
214,gift of peter stone,5,0.00040594300560201345
215,gift of the olivetti corporation,5,0.00040594300560201345
216,edward larrabee barnes purchase fund,5,0.00040594300560201345
217,gift of mr. joseph h. heil,5,0.00040594300560201345
218,gift of the family service association of america,5,0.00040594300560201345
219,gift of the education department,5,0.00040594300560201345
220,"gift of ira levy, mrs. donald b. marron, and purchase",5,0.00040594300560201345
221,gift of paul f. walter,5,0.00040594300560201345
222,gift of richards morgenthau co.,5,0.00040594300560201345
223,gift of milton sheingarten,5,0.00040594300560201345
224,"riva castleman endowment fund, lily auchincloss fund",5,0.00040594300560201345
225,"gift of the swiss commercial extension office, lausanne",5,0.00040594300560201345
226,the ralph e. shikes fund,5,0.00040594300560201345
227,lillie p. bliss collection,5,0.00040594300560201345
228,mr. and mrs. walter hochschild purchase fund,5,0.00040594300560201345
229,department purchase,5,0.00040594300560201345
230,walter bareiss fund,5,0.00040594300560201345
231,pritzker foundation fund and architecture & design purchase fund,5,0.00040594300560201345
232,gift of the designer through the netherlands design institute,5,0.00040594300560201345
233,"gift of the four seasons, inc.",5,0.00040594300560201345
234,"gift of icf, inc.",5,0.00040594300560201345
235,"gift of mrs. alfred h. barr, jr.",5,0.00040594300560201345
236,"gift of baccarat & porthault, inc.",5,0.00040594300560201345
237,gift of monroe wheeler,5,0.00040594300560201345
238,"gift of venturi, rauch, and scott brown, inc.",5,0.00040594300560201345
239,gift of patricia phelps de cisneros,5,0.00040594300560201345
240,gift of philip johnson fund,5,0.00040594300560201345
241,gift of conran's,5,0.00040594300560201345
242,gift of the architects,5,0.00040594300560201345
243,exhibition fund,5,0.00040594300560201345
244,gift of the general dynamics corporation,5,0.00040594300560201345
245,gift of david whitney,5,0.00040594300560201345
246,gift of galerie maeght,5,0.00040594300560201345
247,gift of rob beyer,4,0.00032475440448161076
248,gift of mildred constantine,4,0.00032475440448161076
249,gift of mrs. mildred singer hirschkorn,4,0.00032475440448161076
250,"gift of the william wrigley, jr. company",4,0.00032475440448161076
251,"gift of h. e. lauffer co., inc.",4,0.00032475440448161076
252,gift of wilder green,4,0.00032475440448161076
253,leo castelli fund (by exchange),4,0.00032475440448161076
254,gift of the designer and the manufacturer,4,0.00032475440448161076
255,gift of jack banning,4,0.00032475440448161076
256,"gift of verlag m. dumont schauberg, cologne",4,0.00032475440448161076
257,"gift of roblee mccarthy, jr. fund and lily auchincloss fund",4,0.00032475440448161076
258,gift of foreign advisory service corp.,4,0.00032475440448161076
259,gift of william s. lieberman,4,0.00032475440448161076
260,marcel breuer design fund,4,0.00032475440448161076
261,"given in honor of arthur drexler by lily auchincloss, celeste & armand p. bartos, edward & mary barnes, samuel i. newhouse foundation, the joseph h. & florence a. roblee foundation, skidmore, owings & merrill/new york partners, geddes brecher qualls cunningham",4,0.00032475440448161076
262,"gift of bloomingdale bros., inc.",4,0.00032475440448161076
263,gift of michael sheehe,4,0.00032475440448161076
264,gift of leo w. and evelyn d. farland foundation,4,0.00032475440448161076
265,gift of judith price,4,0.00032475440448161076
266,gift of walter gropius,4,0.00032475440448161076
267,gift of knoll associates,4,0.00032475440448161076
268,gift of helen and paul anbinder,4,0.00032475440448161076
269,gift of universal limited art editions,4,0.00032475440448161076
270,joseph h. heil fund,4,0.00032475440448161076
271,gift of chemex corp.,4,0.00032475440448161076
272,gift of mr. and mrs. jerzy michalowski,4,0.00032475440448161076
273,arthur a. cohen purchase fund,4,0.00032475440448161076
274,gift of columbia pictures,4,0.00032475440448161076
275,nea architecture and design purchase fund and mrs. armand p. bartos,4,0.00032475440448161076
276,gift of swissair,4,0.00032475440448161076
277,gift of lillian nassau,4,0.00032475440448161076
278,the ralph e. shikes fund and the friends of education of the museum of modern art,4,0.00032475440448161076
279,gift of the office for emergency management,4,0.00032475440448161076
280,jeanne c. thayer fund,4,0.00032475440448161076
281,richard a. epstein fund,4,0.00032475440448161076
282,"gift of morisawa & co., ltd.",4,0.00032475440448161076
283,larry aldrich fund,4,0.00032475440448161076
284,gift of john mcandrew,4,0.00032475440448161076
285,gift of wilhelm wagenfeld,4,0.00032475440448161076
286,"gift of knoll international, inc.",4,0.00032475440448161076
287,gift of mr. and mrs. walter hochschild,4,0.00032475440448161076
288,gift of murray moss,4,0.00032475440448161076
289,gift of the american cancer society,4,0.00032475440448161076
290,"gift of dubin & dubin, architects, chicago",4,0.00032475440448161076
291,gift of ufa (universum-film-aktiengesellschaft),4,0.00032475440448161076
292,gift of the new york racing association,4,0.00032475440448161076
293,"gift of implement, ltd.",4,0.00032475440448161076
294,gift of frederic tuten,4,0.00032475440448161076
295,gift of the galerie denise rené,3,0.0002435658033612081
296,gift of g. h. bass & co.,3,0.0002435658033612081
297,gift of grapus,3,0.0002435658033612081
298,"gift of the weyhe gallery, n.y",3,0.0002435658033612081
299,"gift of patricia phelps de cisneros, the lauder foundation, leonard and evelyn lauder fund, and victoria newhouse purchase fund",3,0.0002435658033612081
300,gift of the municipal arts society,3,0.0002435658033612081
301,gift of the judith rothschild foundation (donation of galerie gmurzynska),3,0.0002435658033612081
302,purchased in part with funds from mrs. donald b. straus,3,0.0002435658033612081
303,gift of house of italian handicrafts,3,0.0002435658033612081
304,gift of christian zervos,3,0.0002435658033612081
305,"gift of rena rosenthal, inc.",3,0.0002435658033612081
306,gift of the royal society for the prevention of accidents,3,0.0002435658033612081
307,gift of mr. and mrs. alan kern,3,0.0002435658033612081
308,ralph fehlbaum purchase fund,3,0.0002435658033612081
309,gift of jacques putman,3,0.0002435658033612081
310,"gift of the kunstmuseum, silkborg, denmark",3,0.0002435658033612081
311,gift of paola antonelli,3,0.0002435658033612081
312,gift of sinclair radionics,3,0.0002435658033612081
313,"gift of design research, new york",3,0.0002435658033612081
314,gift of lily auchincloss,3,0.0002435658033612081
315,"the museum of modern art, new york",3,0.0002435658033612081
316,"gift of walter p. chrysler, jr.",3,0.0002435658033612081
317,dorothy b. and joseph m. edinburg fund,3,0.0002435658033612081
318,gift of the swiss office for the development of trade,3,0.0002435658033612081
319,riva castleman fund,3,0.0002435658033612081
320,gift of galerie jakobsbrunnen,3,0.0002435658033612081
321,gift of martin freeman co.,3,0.0002435658033612081
322,"gift of baker furniture, inc.",3,0.0002435658033612081
323,kay sage tanguy bequest,3,0.0002435658033612081
324,gift of the office of war information,3,0.0002435658033612081
325,gift of barbara pine,3,0.0002435658033612081
326,"gift of artek-pascoe, inc.",3,0.0002435658033612081
327,"gift of olivetti underwood, corp., new york, ny",3,0.0002435658033612081
328,gift of the peter norton family foundation,3,0.0002435658033612081
329,gift of eric brill in memory of abbie hoffman,3,0.0002435658033612081
330,gift of bernard vidal and yolande flesch,3,0.0002435658033612081
331,gift of the lauder foundation,3,0.0002435658033612081
332,gift of ruth garvey fink and h. bernerd fink in honor of bradbury thompson,3,0.0002435658033612081
333,linda barth goldstein fund,3,0.0002435658033612081
334,gift of benjamin weiss,3,0.0002435658033612081
335,gift of idg marketing ltd.,3,0.0002435658033612081
336,marshall cogan purchase fund and jeffrey p. klein purchase fund,3,0.0002435658033612081
337,gift of the howard wise gallery,3,0.0002435658033612081
338,gift of office for emergency management,3,0.0002435658033612081
339,"gift of the artist through the u.s. art directors club, inc., new york",3,0.0002435658033612081
340,gift of the benefit for attica defense fund,3,0.0002435658033612081
341,gift of barbro kulvik and antti siltavuori,3,0.0002435658033612081
342,gift of mira jacob,3,0.0002435658033612081
343,gift of w. t. reed,3,0.0002435658033612081
344,"gift of galerie buchholz, munich",3,0.0002435658033612081
345,j. henry schroder bank and trust company fund,3,0.0002435658033612081
346,gift of charlotte berend-corinth,3,0.0002435658033612081
347,estate of patricia bonfield,3,0.0002435658033612081
348,"gift of the manufacturer and kikkerland design, inc.",3,0.0002435658033612081
349,"philip johnson fund and aram designs ltd., london",3,0.0002435658033612081
350,gift of sheila hicks,3,0.0002435658033612081
351,gift of the national foundation for infantile paralysis,3,0.0002435658033612081
352,gift of mario botta,3,0.0002435658033612081
353,gift of the finnish ministry of commerce and industry,3,0.0002435658033612081
354,"gift of posters original, limited",3,0.0002435658033612081
355,"gift of polder, inc.",3,0.0002435658033612081
356,"gift of rathcon inc., usa",3,0.0002435658033612081
357,gift of life magazine,3,0.0002435658033612081
358,gift of the congress of industrial organizations,3,0.0002435658033612081
359,gift of at&t bell laboratories,3,0.0002435658033612081
360,gift of miriam m. steinert,3,0.0002435658033612081
361,"mr. and mrs. ralph f. colin fund, leon a. mnuchin fund, and joanne m. stern fund",3,0.0002435658033612081
362,acquired through the helen acheson bequest,3,0.0002435658033612081
363,gift of eliot noyes,3,0.0002435658033612081
364,gift of peter s. scholl,3,0.0002435658033612081
365,gift of  h. h. hecht in honor of george b. hess and alice hess lowenthal,3,0.0002435658033612081
366,gift of the triton gallery,3,0.0002435658033612081
367,gift of edition olympia,3,0.0002435658033612081
368,special purchase fund (exh. 65),3,0.0002435658033612081
369,"gift of atelier international, new york, usa",3,0.0002435658033612081
370,gift of kunsthaus zürich,3,0.0002435658033612081
371,gift of printex corporation,3,0.0002435658033612081
372,blanchette hooker rockefeller purchase fund,2,0.00016237720224080538
373,"gift of thonet brothers, inc.",2,0.00016237720224080538
374,gift of the artist and the publisher,2,0.00016237720224080538
375,friends of roberto burle marx fund and department purchase,2,0.00016237720224080538
376,gift of mrs. jacquelynn schlaes,2,0.00016237720224080538
377,gift of michael benisovich,2,0.00016237720224080538
378,gift of patricia phelps de cisneros in honor of aaron edgar bronfman,2,0.00016237720224080538
379,purchase and gift of mrs. manzu,2,0.00016237720224080538
380,"gift of george kovacs, inc.",2,0.00016237720224080538
381,department purchase fund,2,0.00016237720224080538
382,gift of the london transport co,2,0.00016237720224080538
383,gift of the department of agriculture,2,0.00016237720224080538
384,gift or william p. mangold,2,0.00016237720224080538
385,gift of robert t. buck,2,0.00016237720224080538
386,purchased with funds given by mrs. henry i. cobb and mrs. melville wakeman hall,2,0.00016237720224080538
387,"gift of ameico, inc.",2,0.00016237720224080538
388,gift of claus g. manassa and renata m. schwebel in memory of george and anne-marie manassa,2,0.00016237720224080538
389,gift of international silk association,2,0.00016237720224080538
390,"gift of laurent oppenheim, jr.",2,0.00016237720224080538
391,celeste bartos purchase fund,2,0.00016237720224080538
392,gift of the coordinator of inter-american affairs,2,0.00016237720224080538
393,gift of henry g. proskauer,2,0.00016237720224080538
394,gift of marshall cogan and purchase,2,0.00016237720224080538
395,gift of paul standard,2,0.00016237720224080538
396,gift of galerie der spiegel,2,0.00016237720224080538
397,gift of kenneth walker,2,0.00016237720224080538
398,gift of the employees of herman miller,2,0.00016237720224080538
399,gift of waertsila corp.,2,0.00016237720224080538
400,gift of celeste and armand p. bartos,2,0.00016237720224080538
401,gift of mr. and mrs. philip a. straus,2,0.00016237720224080538
402,purchased with funds given by mrs. melville wakeman hall,2,0.00016237720224080538
403,"david rockefeller jr. fund, gift of alvar aalto architects ltd. and department purchase fund",2,0.00016237720224080538
404,gift of list art posters,2,0.00016237720224080538
405,marcel breuer purchase fund,2,0.00016237720224080538
406,gift of the xix olympics committee,2,0.00016237720224080538
407,john d. rockefeller 3rd purchase fund,2,0.00016237720224080538
408,gift of richard grant,2,0.00016237720224080538
409,gift of barry friedman,2,0.00016237720224080538
410,the elinor grasheim memorial fund,2,0.00016237720224080538
411,gift of george e. weigl co.,2,0.00016237720224080538
412,gift of seattle university,2,0.00016237720224080538
413,gift of trailwise company,2,0.00016237720224080538
414,"gift of swedlow lehman, inc.",2,0.00016237720224080538
415,gift of james l. melcher,2,0.00016237720224080538
416,gift of robley gallery,2,0.00016237720224080538
417,"gift of steendrukkerij de jong & co., hilversum",2,0.00016237720224080538
418,bequest of ludwig mies van der rohe,2,0.00016237720224080538
419,mr. and mrs. constantine sidamon-eristoff fund,2,0.00016237720224080538
420,gift of rfsu rehab,2,0.00016237720224080538
421,gift of bates lowry,2,0.00016237720224080538
422,gift of george and janet jaffin foundation,2,0.00016237720224080538
423,gift of lars bjorkholm,2,0.00016237720224080538
424,gift of the restaurant associates,2,0.00016237720224080538
425,"gift of the israel museum, jerusalem",2,0.00016237720224080538
426,gift of john goodwin,2,0.00016237720224080538
427,gift of the pace gallery,2,0.00016237720224080538
428,gift of station wor-fm,2,0.00016237720224080538
429,walter bareiss fund and gift of leo auerbach (by exchange),2,0.00016237720224080538
430,gift of olivetti corp.,2,0.00016237720224080538
431,emery fund,2,0.00016237720224080538
432,"gift of museum of contemporary art, chicago",2,0.00016237720224080538
433,"given anonymously and david rockefeller, jr. purchase fund",2,0.00016237720224080538
434,gift of steendrukkerij de jong & co,2,0.00016237720224080538
435,gift of the josef albers foundation,2,0.00016237720224080538
436,gift of overseas liason services,2,0.00016237720224080538
437,gift of anna moellenhoff,2,0.00016237720224080538
438,gift of the office of emergency management,2,0.00016237720224080538
439,"gift of olivetti underwood corp., n. y. c.",2,0.00016237720224080538
440,gift of saks fifth avenue,2,0.00016237720224080538
441,"gift of fujikawa, conterato, lohan and associates",2,0.00016237720224080538
442,"gift of moderna museet, stockholm",2,0.00016237720224080538
443,gift of the contemporaries gallery,2,0.00016237720224080538
444,gift of bloomingdale bros. inc.,2,0.00016237720224080538
445,gift of susan merians,2,0.00016237720224080538
446,"gift of roberts and regn, inc.",2,0.00016237720224080538
447,gift of necchi sewing machine sales corp.,2,0.00016237720224080538
448,gift of heinz berggruen,2,0.00016237720224080538
449,andrew cogan purchase fund,2,0.00016237720224080538
450,"gift of the graduate school of architecture, planning and preservation, columbia university",2,0.00016237720224080538
451,gift of mrs. gilbert w. chapman,2,0.00016237720224080538
452,gift of carl van vechten,2,0.00016237720224080538
453,gift of mr. and mrs. gifford phillips,2,0.00016237720224080538
454,gift of the artists,2,0.00016237720224080538
455,gift of the cosmopolitan arts foundation,2,0.00016237720224080538
456,gift of alicia legg,2,0.00016237720224080538
457,"gift of time-life, inc.",2,0.00016237720224080538
458,"gift of rca records, inc.",2,0.00016237720224080538
459,gift of french national railways,2,0.00016237720224080538
460,gift of sweden house,2,0.00016237720224080538
461,"gift of the moderna museet, stockholm",2,0.00016237720224080538
462,gertrud a. mellon fund,2,0.00016237720224080538
463,gift of dain gallery,2,0.00016237720224080538
464,"gift of domus academy, milan, italy",2,0.00016237720224080538
465,"gift of ibm, new york",2,0.00016237720224080538
466,national endowment for the arts project funds,2,0.00016237720224080538
467,gift of g.e. kidder smith,2,0.00016237720224080538
468,"gift of daniel morris and denis gallion, historical design collection, inc.",2,0.00016237720224080538
469,gift of max underwood,2,0.00016237720224080538
470,ira howard levy fund and kenneth walker fund,2,0.00016237720224080538
471,gift of donald h. karshan,2,0.00016237720224080538
472,gift of the netherlands information bureau,2,0.00016237720224080538
473,gift of franklin field,2,0.00016237720224080538
474,gift of the container corporation of america,2,0.00016237720224080538
475,gift of the contemporary arts council of the museum of modern art in memory of hedi kravis ruger,2,0.00016237720224080538
476,barbara jakobson fund,2,0.00016237720224080538
477,gift of monroe wheeler in memory of philip hofer,2,0.00016237720224080538
478,gift of jaguar cars,2,0.00016237720224080538
479,"gift of herman miller ag, basel, switzerland",2,0.00016237720224080538
480,"gift of h. morris & co., ltd.",2,0.00016237720224080538
481,abby aldrich rockefeller purchase fund,2,0.00016237720224080538
482,gift of mr. paul standard,2,0.00016237720224080538
483,"skidmore, owings & merrill design collection purchase fund",2,0.00016237720224080538
484,"gift of takenaka komuten co., ltd., osaka, japan",2,0.00016237720224080538
485,gift of linda barth goldstein and julie b. janovic in honor of riva castleman,2,0.00016237720224080538
486,gift of the judith rothschild foundation (donation of varvara rodchenko),2,0.00016237720224080538
487,gift of the industrial design society of america,2,0.00016237720224080538
488,gift of ambroise vollard,2,0.00016237720224080538
489,"gift of the ministry of information, london",2,0.00016237720224080538
490,jeffrey p. klein purchase fund,2,0.00016237720224080538
