,edition,count,frequency
129,approx. 100,3,0.0006216328222130128
130,999,3,0.0006216328222130128
131,unknown (including a deluxe edition of 150 with two original drypoints [this ex.] and an unknown regular edition with reproductions only),3,0.0006216328222130128
132,unknown (6 known complete examples),3,0.0006216328222130128
133,book: 243 (200 numbered 1-200; 25 a.p.; 7 p.p.; 5 h.c.; and 6 numbered i-vi reserved for presentation); unbound aquatint: 50 (numbered 1/50-50/50),3,0.0006216328222130128
134,"2,400",3,0.0006216328222130128
135,500 (numbered 1-500),3,0.0006216328222130128
136,50 (numbered 1-50),3,0.0006216328222130128
137,7 variants,3,0.0006216328222130128
138,523,3,0.0006216328222130128
139,book with 22 drypoints: 19 (8 numbered 1-8 with supplementary suite; 11 numbered 9-19),3,0.0006216328222130128
140,850,3,0.0006216328222130128
141,book: 90 (numbered 1-90); frontispiece alone: 20 (10 a.p.; 10 unsigned proofs),3,0.0006216328222130128
142,book: 60 (50 numbered 1/50-50/50; 10 numbered i/x-x/x); suite: 17 (2 marked a-b before steelfacing; 15 marked c-q after steelfacing),3,0.0006216328222130128
143,approx. 200,3,0.0006216328222130128
144,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); plus an unknown number of proofs outside the book edition",3,0.0006216328222130128
145,750,3,0.0006216328222130128
146,30 h.c. proofs outside an edition of 150,3,0.0006216328222130128
147,trial proofs before the published edition of 30,3,0.0006216328222130128
148,1260 (including museum edition of 10 [this ex.]; deluxe edition of 50; and regular edition of 1200 [without the two woodcuts]); plus a second edition (1914) of 1100 (without the two woodcuts),3,0.0006216328222130128
149,5,3,0.0006216328222130128
150,3000 (20 with lithographs and supplementary drawing; 2890),3,0.0006216328222130128
151,"periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; single print, hand-printed on the pan-press: 12, signed, on japan paper, before the periodical edition; 50, signed, on ""bütten"" paper, after the periodical edition",3,0.0006216328222130128
152,"periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper",3,0.0006216328222130128
153,"45,505",3,0.0006216328222130128
154,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); outside the book: 30 published by friedrich dehne verlag, leipzig; plus 1 known trial proof",3,0.0006216328222130128
155,398 (numbered 1-398),3,0.0006216328222130128
156,40 (33 numbered 1-33; 7 h.c. numbered i-vii reserved for author and publisher),3,0.0006216328222130128
157,120 (10 numbered 1-10 with supplementary suite and gouache; 15 numbered 11-25 with supplementary suite; 75 numbered 26-100; 7 h.c. named copies numbered i-vii with supplementary suite; 13 h.c. named copies numbered viii-xx),3,0.0006216328222130128
158,"430 (20 numbered 1-20 on arches with supplementary engraving, 2 suites, and 1 superimposed print; 400 numbered 21-420 on wove paper; 6 numbered i-vi on arches with supplementary engraving, 2 suites, and 2 superimposed prints; 4 h.c. numbered i/iv-iv/iv on china with supplementary engraving and 3 variants, suite, and 3 superimposed prints, reserved for author, artist, +dédicataire-, and printer)",3,0.0006216328222130128
159,126 (including a deluxe edition of 26 on handmade dutch pannekoek paper and a regular edition of 100 [this ex.]),3,0.0006216328222130128
160,368,3,0.0006216328222130128
161,99,3,0.0006216328222130128
162,"3,500",3,0.0006216328222130128
163,"1,500",2,0.0004144218814753419
164,24 a.p. (numbered ap 1/24-24/24),2,0.0004144218814753419
165,regular edition: unknown (this ex.); special edition numbered and signed by the author: 120,2,0.0004144218814753419
166,1500 (unnumbered; 500 hardbacks and 1000 paperbacks),2,0.0004144218814753419
167,"periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; single print, hand-printed on the pan-press: an unknown number, signed, on japan paper, before the periodical edition; 50, signed, after the periodical edition",2,0.0004144218814753419
168,proof before the edition of 160,2,0.0004144218814753419
169,2000 (unnumbered),2,0.0004144218814753419
170,150 (numbered 1/150-150/150),2,0.0004144218814753419
171,"75,000",2,0.0004144218814753419
172,70 (numbered 1-70),2,0.0004144218814753419
173,260,2,0.0004144218814753419
174,"1,500-2,000",2,0.0004144218814753419
175,15 (numbered 1-15),2,0.0004144218814753419
176,120+ (100 numbered 1-100; 20 a.p. numbered i-xx; several h.c.),2,0.0004144218814753419
177,78,2,0.0004144218814753419
178,artist's proof before the edition of 150,2,0.0004144218814753419
179,220 (20 numbered 1-20 on arches with supplementary suite; 180 numbered 21-200 on rives; 20 h.c. numbered i-xx reserved for friends of artist and author),2,0.0004144218814753419
180,book: 72 (51 numbered 1/51-51/51; 10 a.p. numbered i-x; 3 h.c.; 3 presentation copies; 1 t.p.; 2 p.p.; 1 bat; and 1 archive). portfolio of 7 plates: 98 (numbered 1/98-98/98),2,0.0004144218814753419
181,150 (1 numbered 1 on china with 2 supplementary suites; 1 numbered 2 on imperial japan with 2 supplementary suites; 8 numbered 3-10 on imperial japan with 1 supplementary suite; 125 numbered 11-135; 15 h.c. named copies),2,0.0004144218814753419
182,60 (numbered 1-60),2,0.0004144218814753419
183,"2,750–4,000",2,0.0004144218814753419
184,not applicable,2,0.0004144218814753419
185,36 (30 numbered 1/30-30/30; 6 marked a-e reserved for collaborators),2,0.0004144218814753419
186,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); outside the book: 75 printed by meissner & buch, leipzig and published by friedrich dehne verlag, leipzig",2,0.0004144218814753419
187,70+ (50 numbered 1-50 on rives; 20 numbered i-xx on arches with supplementary drawing; several h.c,2,0.0004144218814753419
188,1525,2,0.0004144218814753419
189,240 (140 numbered 1-140 reserved for society members and collaborators; 100 numbered i-c),2,0.0004144218814753419
190,announced: 60 (including 10 h.c.); published: 30 (unnumbered),2,0.0004144218814753419
191,"20,000",2,0.0004144218814753419
192,"2,200",2,0.0004144218814753419
193,"5,080",2,0.0004144218814753419
194,"periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; single print: 25, signed, on japan paper, hand-printed on the pan-press, before the periodical edition; plus an unknown number on ""van gelder zonen bütten"" paper, partially colored, published by rembrandt-verlag, berlin, after 1923",2,0.0004144218814753419
195,"520 (1-12 on ""japan"" paper [this ex.]; 13-75 on bütten paper; 76- 520 on wove paper; plus 28 two- to four-color proofs before edition; 3 one-color t.p.",2,0.0004144218814753419
196,42,2,0.0004144218814753419
197,550,2,0.0004144218814753419
198,530 (400 numbered 1-400 on lafuma; 30 h.c. numbered 401-430 on lafuma; 95 numbered i-xcv on arches; 5 marked a-e on japan),2,0.0004144218814753419
199,500 printed by wiener werkstätte 1908 (of which 275 numbered 1-275 published by kurt wolff 1917 [this ex.]),2,0.0004144218814753419
200,20 artist proofs,2,0.0004144218814753419
201,"25,000",2,0.0004144218814753419
202,120+ (20 numbered 1-20 with supplementary suite; 70 numbered 21-90; 10 h.c. numbered i-x with supplementary suite; 20 h.c. numbered xi-xxx; several other h.c.),2,0.0004144218814753419
203,120 (20 numbered 1-20 with engraving; 100 numbered 21-120),2,0.0004144218814753419
204,65 (60 numbered 1-60; 5 h.c. marked a-e reserved for collaborators),2,0.0004144218814753419
205,90 (20 numbered 1-20 with 2 supplementary suites; 50 numbered 21-70; 20 h.c. reserved for collaborators),2,0.0004144218814753419
206,"30,000",2,0.0004144218814753419
207,554,2,0.0004144218814753419
208,book: 5 numbered 1-5. individual prints: 5 plates (except cover) on rives with wide margins in edition of 6,2,0.0004144218814753419
209,"approx. 10,000 in 5 editions (deluxe portfolio edition a: 50, numbered i-l, including all 100 reproductions of watercolors and drawings, each print signed, issued loose in a silk-covered portfolio box; deluxe portfolio edition b i: 100, numbered 1-100, including the 16 reproductions of watercolors only, each print signed, issued loose in a half-parchment portfolio; regular portfolio edition b ii: number unknown, including the 16 reproductions of watercolors only, unsigned, issued loose in a ""bütten""-paper covered portfolio; regular book edition c: approx. 6,000-8,000, including all 100 reproductions of watercolors and drawings, unsigned, issued in a ""bütten""-covered board binding [this ex.]: regular book edition d: number unknown, including the 84 reproductions of drawings only, unsigned, issued in a chromo board binding)",2,0.0004144218814753419
210,130 (99 numbered 1/99-99/99; 20 numbered i/xx-xx/xx with prints retouched; 11 named copies marked a-m with supplementary drawing),2,0.0004144218814753419
211,235 (200 numbered 1-200; 20 a.p.; 5 h.c.; and 10 copies reserved for presentation),2,0.0004144218814753419
212,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); outside the book: unknown edition published by friedrich dehne verlag, leipzig",2,0.0004144218814753419
213,420,2,0.0004144218814753419
214,proof before the edition of 50,2,0.0004144218814753419
215,33 (including 4 signed and numbered 1-4 with supplementary suite of trial proofs on japan paper and 29 signed and numbered 5-33 [this ex.]),2,0.0004144218814753419
216,first edition (1977): 300 (numbered 1-300 with last print signed). second edition (1989): 300 (with one print signed). third edition (1992): 300 (with all prints signed),2,0.0004144218814753419
217,600 (two editions numbered 1-300),2,0.0004144218814753419
218,"periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; single print: 25, signed, on japan paper, hand-printed on the pan-press, before the periodical edition",2,0.0004144218814753419
219,80 (60 numbered 1/60-60/60; 10 numbered i/x-x/x; and 10 marked a-j with supplementary suite),2,0.0004144218814753419
220,68 (numbered 1/68-68/68),2,0.0004144218814753419
221,40 (numbered 1/40-40/40); individual prints: 10 a.p,2,0.0004144218814753419
222,295,2,0.0004144218814753419
223,2500,2,0.0004144218814753419
224,110 (100 numbered 1/100-100/100; 10 proof copies),2,0.0004144218814753419
225,9 (numbered 1-9),2,0.0004144218814753419
226,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); outside the book: 75 published by friedrich dehne verlag, leipzig",2,0.0004144218814753419
227,"2,000–2,200",2,0.0004144218814753419
228,69,2,0.0004144218814753419
229,143,2,0.0004144218814753419
230,200 (30 numbered 1-30 with supplementary suite; 50 numbered 31-80 with personal dedications; 120 numbered 81-200),2,0.0004144218814753419
231,221 (200 numbered 1-200 on witcel ledger; 20 numbered i-xx on schoeller durex; 1 unique with supplementary suite on richard de bas),2,0.0004144218814753419
232,100 (numbered 1-100),2,0.0004144218814753419
233,before the edition of 50,2,0.0004144218814753419
234,110 (100 numbered 1-100; 10 marked a-j),1,0.00020721094073767094
235,130 (including 30 bound in half-leather and 100 bound in half-linen [this ex.]),1,0.00020721094073767094
236,"172 (30 numbered 1-30 with supplementary suite; 120 numbered 31-150; 20 h.c. numbered i-xx reserved for collaborators; 2 h.c. numbered 1/2-2/2 with supplementary suite and proof of wrapper and 2 supplementary suites of wood engravings, reserved for artist and publisher)",1,0.00020721094073767094
237,160 (numbered 1/160-160/160),1,0.00020721094073767094
238,38 or 40 impressions with remarques in published suites (see baer p. 240); plus 20+ additional impressions,1,0.00020721094073767094
239,111 (100 numbered 1-100; 1 marked a with supplementary manuscripts for each poem; 10 h.c. marked b-k with supplementary manuscript for poem reserved for collaborators),1,0.00020721094073767094
240,unique unnumbered impression,1,0.00020721094073767094
241,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); plus several proofs outside the edition (approx. 6-15)",1,0.00020721094073767094
242,"520 (1-12 on ""japan"" paper [this ex.]; 13-75 on bütten paper; 76- 520 on wove paper)",1,0.00020721094073767094
243,26,1,0.00020721094073767094
244,90 (85 numbered 1-85; 5 h.c.),1,0.00020721094073767094
245,unpublished proofs,1,0.00020721094073767094
246,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); plus unknown edition in the yearbook unser weg 1920 published by paul cassirer, verlag, 1919; outside the book editions: 100 printed by pan-presse, berlin",1,0.00020721094073767094
247,80; plus xviii a.p,1,0.00020721094073767094
248,145+ (140 numbered 1-140 on van gelder; 5 marked a-e on van gelder; other copies on featherweight),1,0.00020721094073767094
249,6100 (100 numbered 1-100 with lithograph; 6000 unnumbered copies),1,0.00020721094073767094
250,"1,500–2,500",1,0.00020721094073767094
251,74,1,0.00020721094073767094
252,book: 120 (105 numbered 1-105; 15 marked a-o bound with paper boards). individual lithograph: 32 (16 numbered 1-16 on rives with additional pale yellow background color; 8 numbered 1-8 on rives mounted onto arches; 8 numbered 1-8 on nideggen mounted onto arches),1,0.00020721094073767094
253,83 (65 numbered 1-65; 18 numbered i-xviii with supplementary woodcut and bound in vellum),1,0.00020721094073767094
254,"regular edition: unknown [this ex.]; plus deluxe edition of 80 (with supplementary portfolio of three prints issued hors text); outside the book: 50 printed by fritz voigt, berlin",1,0.00020721094073767094
255,205,1,0.00020721094073767094
256,110 (95 numbered 1/95-95/95; 15 h.c. numbered i/xv-xv/xv),1,0.00020721094073767094
257,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); plus unknown number of proofs printed by the artist and one unique print printed by the artist in two colors",1,0.00020721094073767094
258,150 (35 numbered 1-35 with supplementary suite; 90 numbered 36-125; 15 h.c. numbered i-xv reserved for artist and author; 10 h.c. marked a-j),1,0.00020721094073767094
259,"periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; single print, hand-printed on the pan-press: 15, signed, on japan paper, before the periodical edition",1,0.00020721094073767094
260,"popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; plus pan-presse edition of c. 25, signed and numbered, and unknown number (fewer than 10), signed, on yellow ""japan"" bütten.",1,0.00020721094073767094
261,book: 35 (numbered 1/35-35/35); broadside: 40 (numbered 1/40-40/40),1,0.00020721094073767094
262,99 (numbered 1/99-99/99),1,0.00020721094073767094
263,988 (25 numbered 1-25 on arches with etching; 3 h.c. with etching and 2 supplementary proofs; 50 numbered 26-75 on marais; 910 numbered 76-985 on surglacé),1,0.00020721094073767094
264,1114 (100 numbered i-c on marais with etching and supplementary etched reproduction; 10 marked a-j on arches with etching and 3 supplementary proofs; 4 named copies on arches with etching and 3 supplementary proofs reserved for collaborators; 1000 numbered 1-1000 with etched reproduction),1,0.00020721094073767094
265,2250 (150 numbered i-cl on johannot with lithograph; 2000 numbered 1-2000 on wove paper; 100 h.c. numbered 2001-2100 on wove paper reserved for collaborators),1,0.00020721094073767094
266,approx. 181,1,0.00020721094073767094
267,20 (numbered 1/20-20/20),1,0.00020721094073767094
268,proof before the edition of 115,1,0.00020721094073767094
269,130 (99 numbered 1/99-99/99; 25 h.c. numbered i/xxv-xxv/xxv reserved for collaborators; 6 dedicated copies marked a-f),1,0.00020721094073767094
270,"534 (25 numbered 1-25 on arches with supplementary etching and suite, 16 have 2nd suite); 500 numbered 26-525 on lafuma; 6 numbered i-vi on arches with supplementary suite; 3 h.c. named copies on arches bristol with supplementary etching and 6 suites, reserved for author, artist, and publisher)",1,0.00020721094073767094
271,"periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; single print, hand-printed on the pan-press: an unknown number on japan paper, before the periodical edition; 50 on ""van gelder zonen bütten"" paper, after the periodical edition",1,0.00020721094073767094
272,book: 500 [this ex.]; plus 1 known state proof and 1 known trial proof,1,0.00020721094073767094
273,90 (numbered 1/90-90/90),1,0.00020721094073767094
274,510+ (480 numbered 1-480 on normandy; 30 numbered i-xxx on japan; several h.c.),1,0.00020721094073767094
275,10-12,1,0.00020721094073767094
276,426 (400 numbered 1-400; 26 h.c. marked a-z reserved for collaborators),1,0.00020721094073767094
277,20,1,0.00020721094073767094
278,"periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; single print, hand-printed on the pan-press: 50 on ""van gelder zonen bütten"" paper, after the periodical edition",1,0.00020721094073767094
279,see individual entries,1,0.00020721094073767094
280,"periodical: popular edition (""volksausgabe""): unknown [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; unknown number of proofs printed by the artist before the edition; 12 publisher's proofs",1,0.00020721094073767094
281,135 (99 numbered 1-99; 30 numbered i-xxx with supplementary suite; 6 h.c. marked a-f),1,0.00020721094073767094
282,74 (50 numbered 1/50-50/50; 5 numbered i-v reserved for subscribers; 10 a.p. numbered 1-10; 6 h.c. reserved for printer and publisher; 2 t.p.; 1 b.a.t.),1,0.00020721094073767094
283,812,1,0.00020721094073767094
284,13 (numbered 1-13),1,0.00020721094073767094
285,91,1,0.00020721094073767094
286,proof outside the edition of 24,1,0.00020721094073767094
287,145+ (50 numbered 1-50 with supplementary suite; 75 numbered 51-125; 20 h.c. numbered i-xx; several named copies),1,0.00020721094073767094
288,"14,000",1,0.00020721094073767094
289,90 (20 numbered 1-20 with supplementary suite with additions by the artist; 60 numbered 21-80; 10 h.c. numbered i-x),1,0.00020721094073767094
290,190 (150 numbered 1-150 on rives; 7 numbered i/xx-vii/xx on auvergne with supplementary suite and cancelled copperplate; 13 numbered viii/xx-xx/xx on auvergne with supplementary suite; 10 a.p. on arches; 10 h.c. on arches reserved for collaborators),1,0.00020721094073767094
291,"total book edition: 2000, issued in 3 series. series a with 1 of 7 supplementary etchings: 1000 (100 numbered i, 1-100; 100 numbered ii, 1-100; 100 numbered iii, 1-100; 100 numbered iv, 1-100; 200 numbered v, 1-200; 200 numbered vi, 1-200; 200 numbered vii, 1-200); series b without original etching: 100; series c without original etching: 900",1,0.00020721094073767094
292,2500 (numbered 1-2500),1,0.00020721094073767094
293,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); single print: 50 signed and numbered on japan paper, published by emil richter, dresden, in 1920; edition of unknown size with lithographed signature published by emil richter, dresden, c. 1921; edition of unknown size (including 50 on copperplate paper) published by alexander von der becke, berlin, as of 1931",1,0.00020721094073767094
294,353 (2 numbered 1-2 on china with 2 supplementary drawings and suite; 25 numbered 3-28 on japan with supplementary suite; 300 numbered 29-329 on laid paper; 26 printers' copies marked a-z on laid paper),1,0.00020721094073767094
295,18 (numbered 1/18-18/18 with linoleum cut),1,0.00020721094073767094
296,940 (140 numbered 1/140-140/140 with etching; 800),1,0.00020721094073767094
297,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); outside the book: approx. 60 (approx. 10 on japan paper and approx. 50 on machine-made ""bütten"" paper)",1,0.00020721094073767094
298,300 (numbered 1-300),1,0.00020721094073767094
299,250 (numbered 1-250),1,0.00020721094073767094
300,221+,1,0.00020721094073767094
301,50; plus x a.p,1,0.00020721094073767094
302,55+ (45 numbered 1-45; 5 numbered i-v with supplementary drawing; 5 named copies reserved for collaborators; several h.c. unnumbered?,1,0.00020721094073767094
303,27 (19 numbered 1/19-19/19; 7 a.p; 1 h.c.),1,0.00020721094073767094
304,15 (numbered 1/15-15/15),1,0.00020721094073767094
305,"periodical: popular edition (""volksausgabe a""): unknown [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; unknown number of proofs printed by the artist before the edition; 12 printed for publisher",1,0.00020721094073767094
306,825,1,0.00020721094073767094
307,18 numbered 1-18,1,0.00020721094073767094
308,66 (48 numbered 1-48; 12 numbered i-xii; 6 h.c.),1,0.00020721094073767094
309,25 (numbered 1-25),1,0.00020721094073767094
310,600 (numbered 1-600),1,0.00020721094073767094
