,medium,count,frequency
46,one from an illustrated book with twenty-eight woodcuts and a supplementary suite of twenty-eight woodcuts,27,0.0021726885008449344
47,glazed earthenware,27,0.0021726885008449344
48,one from the supplementary suite of an illustrated book with twenty-eight woodcuts and a supplementary suite of twenty-eight woodcuts,27,0.0021726885008449344
49,gelatin silver photograph,26,0.0020922185563691962
50,artist's book,26,0.0020922185563691962
51,plastic casing,26,0.0020922185563691962
52,cotton,26,0.0020922185563691962
53,favrile glass,25,0.0020117486118934576
54,gravure,25,0.0020117486118934576
55,one from a portfolio of twenty-eight lithographs (including front and back covers),25,0.0020117486118934576
56,one from an illustrated book with nineteen woodcuts,25,0.0020117486118934576
57,engraving over line block reproduction after wash drawing,25,0.0020117486118934576
58,lithograph from an illustrated book with twenty-two lithographs (including pictorial initials and ornaments),24,0.0019312786674177194
59,blown glass,24,0.0019312786674177194
60,crystal,24,0.0019312786674177194
61,one from an illustrated book with twenty-five photogravures,24,0.0019312786674177194
62,one from a book of musical scores with twenty lithographs (including wrapper front),24,0.0019312786674177194
63,one from an artist's book of twenty-four die-cuts,24,0.0019312786674177194
64,one from an illustrated book with twenty-eight etchings,23,0.0018508087229419812
65,one from an illustrated book with twenty lithographs and four letterpress prints (including cover),23,0.0018508087229419812
66,lithograph from an illustrated book with eight lithographs,23,0.0018508087229419812
67,one from an illustrated book with ten lithographs,21,0.0016898688339905044
68,"aquatint from a portfolio of twenty-four aquatints (including wrapper and variant print) (five with etching, two with engraving, two with drypoint, and one with pastel additions) and one etching",21,0.0016898688339905044
69,printed cotton,20,0.0016093988895147663
70,"engraving from an illustrated book with twenty engravings, ten aquatints (one with drypoint), one drypoint, and one etching (including wrapper front)",20,0.0016093988895147663
71,one from an illustrated book with twenty lithographs (some with tipped-in photolithographic reproductions of newspaper clippings or lithographs),20,0.0016093988895147663
72,one from an illustrated book with thirty screenprints (including title page),20,0.0016093988895147663
73,"one from an illustrated book with thirteen lithographs, including wrapper",20,0.0016093988895147663
74,one from an illustrated book with nineteen screenprints,20,0.0016093988895147663
75,one from an illustrated book with twenty-six screenprints,20,0.0016093988895147663
76,woodcut,20,0.0016093988895147663
77,one from an illustrated book with twenty lithographs,19,0.0015289289450390279
78,graphite and color pencil on tracing paper,19,0.0015289289450390279
79,one from a portfolio of twenty-eight lithographs,19,0.0015289289450390279
80,"etching and aquatint from an illustrated book with 46 etchings (23 with aquatint, 23 with pochoir, eight with drypoint, and eight with watercolor and ink additions)",19,0.0015289289450390279
81,lithograph from an illustrated book with 14 lithographs,19,0.0015289289450390279
82,woodcut from an illustrated book with eleven woodcuts,18,0.0014484590005632897
83,"journal, letterpress printed",18,0.0014484590005632897
84,one from an illustrated book with fourteen line blocks and one ink drawing,18,0.0014484590005632897
85,lithograph from a periodical with five lithographs,18,0.0014484590005632897
86,acrylic,18,0.0014484590005632897
87,one from an illustrated book with fifteen rubber stamps,18,0.0014484590005632897
88,"etching and aquatint from an illustrated book with thirty aquatints (twenty-one with etching, two with drypoint, one with screenprint), three etchings (two with drypoint), and one lithograph",18,0.0014484590005632897
89,one from an illustrated book with eighteen lithographs and one lithographed title page,18,0.0014484590005632897
90,aquatint and drypoint from an illustrated book with thirty-one aquatints,18,0.0014484590005632897
91,pochoir from an illustrated book with twenty pochoirs,18,0.0014484590005632897
92,"etching over relief halftone reproduction after drawing, relief printed",17,0.0013679890560875513
93,"lithograph from an illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object",17,0.0013679890560875513
94,drypoint from an illustrated book with six drypoints,17,0.0013679890560875513
95,colored pencil on tracing paper,17,0.0013679890560875513
96,linoleum cut,17,0.0013679890560875513
97,"lithograph from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",17,0.0013679890560875513
98,watercolor,17,0.0013679890560875513
99,charcoal and graphite on tracing paper,17,0.0013679890560875513
100,aquatint from an illustrated book with fourteen aquatints,16,0.0012875191116118129
101,linen,16,0.0012875191116118129
102,"line block and pochoir from an illustrated book with 18 line blocks with pochoir, three etchings (one with aquatint), and one lithograph (including cover)",16,0.0012875191116118129
103,blown painted glass,16,0.0012875191116118129
104,porcelain,16,0.0012875191116118129
105,pencil on illustration board,16,0.0012875191116118129
106,aquatint from an illustrated book with 16 aquatints (one with etching),15,0.0012070491671360747
107,lithograph from a periodical with four lithographs,15,0.0012070491671360747
108,"book, letterpress printed",15,0.0012070491671360747
109,colored pencil on print,15,0.0012070491671360747
110,"one from an illustrated book with twenty line block reproductions after woodcuts, one line block reproduction after drawing on title page, and one line block reproduction after drawing (duplicate of title page) on front cover",15,0.0012070491671360747
111,lithograph from an illustrated book with 20 lithographs (including cover),15,0.0012070491671360747
112,pochoir from an illustrated book with twenty-two pochoirs (six with line block) and two line blocks on front and back covers,14,0.0011265792226603363
113,computer-generated plot on paper,14,0.0011265792226603363
114,lithograph from an illustrated book with forty lithographs (including wrapper front and cover),14,0.0011265792226603363
115,glazed ceramic,14,0.0011265792226603363
116,"one etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure",14,0.0011265792226603363
117,"lithograph from an illustrated book with twenty-seven lithographs (fifteen with lithographed manuscript text), seven rubber-stamped texts, five lithographed manuscript texts, and collaged cover",14,0.0011265792226603363
118,steel,14,0.0011265792226603363
119,one from an illustrated book with sixteen etching and aquatints,14,0.0011265792226603363
120,wood engraving,14,0.0011265792226603363
121,book,14,0.0011265792226603363
122,etching from an illustrated book of 13 etchings,14,0.0011265792226603363
123,"one from an illustrated book with thirty-five woodcuts (including woodcut cover, title page and ornamental initials)",14,0.0011265792226603363
124,wood engraving from an illustrated book with fifteen wood engravings,14,0.0011265792226603363
125,one from an illustrated book with thirteen screenprints,13,0.0010461092781845981
126,book with letterpress typographic designs,13,0.0010461092781845981
127,"etching from an illustrated book with nineteen etchings (three with drypoint, two with aquatint, and one with aquatint and embossing) and one engraving",13,0.0010461092781845981
128,wood,13,0.0010461092781845981
129,lithograph from an illustrated book with twelve lithographs,13,0.0010461092781845981
130,graphite on paper,13,0.0010461092781845981
131,pewter,13,0.0010461092781845981
132,one from a portfolio of ten screenprints with collage additions,13,0.0010461092781845981
133,gouache-lithograph,13,0.0010461092781845981
134,pochoir from an illustrated book with eleven pochoirs (including cover),12,0.0009656393337088597
135,illustrated book with one lithograph,12,0.0009656393337088597
136,crayon on tracing paper,12,0.0009656393337088597
137,"line-block reproduction after woodcut from an illustrated book with nine line-block reproductions after woodcuts, one line-block reproduction after woodcut title vignette, and one line-block reproduction (duplicate of title vignette) on front cover",12,0.0009656393337088597
138,bronze,12,0.0009656393337088597
139,felt-tipped pen on tracing paper,12,0.0009656393337088597
140,gouache on paper,12,0.0009656393337088597
141,etching and engraving from an illustrated book with six etchings (five with engraving) and two blind embossings,12,0.0009656393337088597
142,lithograph from a portfolio of twelve lithographs,12,0.0009656393337088597
143,one from an illustrated book with twelve lithographs,12,0.0009656393337088597
144,"lithograph with lithographed manuscript text from an illustrated book with twenty-seven lithographs (fifteen with lithographed manuscript text), seven rubber-stamped texts, five lithographed manuscript texts, and collaged cover",12,0.0009656393337088597
145,etching from an illustrated book with six etchings and supplementary suite of six etchings,12,0.0009656393337088597
146,abs plastic,12,0.0009656393337088597
147,"engraving from an illustrated book with eight engravings (including slipcase, one with etching, one with aquatint and roulette), one drypoint, and one etching",12,0.0009656393337088597
148,lithograph from an illustrated book with ten lithographs,11,0.0008851693892331214
149,aquatint from an illustrated book with ten aquatints,11,0.0008851693892331214
150,abs polymer casing,11,0.0008851693892331214
151,lithograph from an illustrated book of ten lithographs (including title page),11,0.0008851693892331214
152,wood with honduras mahogany veneer,11,0.0008851693892331214
153,graphite and watercolor on paper,11,0.0008851693892331214
154,"aquatint, etching, and drypoint from an illustrated book with thirty-one aquatints",11,0.0008851693892331214
155,etching from the supplementary suite of an illustrated book with twenty letterpress plates and a supplementary suite of ten etchings,11,0.0008851693892331214
156,lithograph from a periodical with nine lithographs,11,0.0008851693892331214
157,crayon on paper,11,0.0008851693892331214
158,"etching from an illustrated book with ten etchings (including wrapper, one with aquatint, one inkless)",11,0.0008851693892331214
159,silver,11,0.0008851693892331214
160,plastic and stainless steel,11,0.0008851693892331214
161,"line block reproduction after pen and ink drawing with gouache additions from an illustrated book with five line block reproductions after pen and ink drawings, four with gouache additions",11,0.0008851693892331214
162,"etching, aquatint, and pochoir from an illustrated book with 46 etchings (23 with aquatint, 23 with pochoir, eight with drypoint, and eight with watercolor and ink additions)",11,0.0008851693892331214
163,abs polymer,11,0.0008851693892331214
164,letterpress and embossing,11,0.0008851693892331214
165,photolithograph from an illustrated book with eight photolithographs and three line block reproductions,10,0.0008046994447573831
166,melamine,10,0.0008046994447573831
167,aquatint,10,0.0008046994447573831
168,lithograph from an illustrated book with nine lithographs (including title page),10,0.0008046994447573831
169,mexican mahogany,10,0.0008046994447573831
170,"one screenprint, from an illustrated book with ten screenprints",10,0.0008046994447573831
171,graphite and self-adhesive letters on paper,10,0.0008046994447573831
172,lithograph from an illustrated book with 12 lithographs,10,0.0008046994447573831
173,"etching from an illustrated book with 14 etchings (six with aquatint, four with engraving, one with drypoint), two aquatints, two engravings, two drypoints, and one photogravure",10,0.0008046994447573831
174,offset photolithograph,10,0.0008046994447573831
175,letterpress and gravure,10,0.0008046994447573831
176,aquatint and etching,10,0.0008046994447573831
177,pressed glass,10,0.0008046994447573831
178,"etching, aquatint, and drypoint from an illustrated book with sixteen etching and aquatints, nine with drypoint (including wrapper front)",10,0.0008046994447573831
179,"aquatint from an illustrated book with twenty engravings, ten aquatints (one with drypoint), one drypoint, and one etching (including wrapper front)",10,0.0008046994447573831
180,one from an illustrated book with eight transfer lithographs,10,0.0008046994447573831
181,"collotype from an illustrated book with eight collotypes (one with embossing and stamp additions), three offset lithographs (one with mylar overlay), two collotype and offset lithographs (one with stamp additions, one with crayon additions), and two drawings",9,0.0007242295002816448
182,"woodcut, collagraph, and collage from an illustrated book with seventy-five woodcuts and collagraphs (including wrapper front) and five woodcuts (eleven with collage)",9,0.0007242295002816448
183,ink and graphite on tracing paper,9,0.0007242295002816448
184,pencil on paper,9,0.0007242295002816448
185,one from a portfolio of six lithographs,9,0.0007242295002816448
186,ink and cut-and-pasted gelatin silver photographs on tracing paper,9,0.0007242295002816448
187,illustrated book with ten lithographs,9,0.0007242295002816448
188,cotton and rayon,9,0.0007242295002816448
189,lithograph from an illustrated book with thirteen lithographs and one oil on paper drawing,9,0.0007242295002816448
190,molded glass,9,0.0007242295002816448
191,maple,9,0.0007242295002816448
192,plastic and steel,9,0.0007242295002816448
193,woven cotton,9,0.0007242295002816448
194,sterling silver,9,0.0007242295002816448
195,lithograph from an illustrated book with seven lithographs and two line block reproductions,9,0.0007242295002816448
196,wool,9,0.0007242295002816448
197,"two from an illustrated book with thirty-five woodcuts (including woodcut cover, title page and ornamental initials)",8,0.0006437595558059064
198,drypoint from an illustrated book with eleven drypoints (two with engraving) and two engravings,8,0.0006437595558059064
199,handblown crystal,8,0.0006437595558059064
200,woodcut with stencil additions from an illustrated book with thirteen woodcuts,8,0.0006437595558059064
201,stainless steel and phenolic plastic,8,0.0006437595558059064
202,"woodcut from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",8,0.0006437595558059064
203,"etching, drypoint, and engraving",8,0.0006437595558059064
204,"screen printed with lacquer ink, lacquer finish",8,0.0006437595558059064
205,brass,8,0.0006437595558059064
206,one from an illustrated book with five screenprints (including cover),8,0.0006437595558059064
207,plywood,8,0.0006437595558059064
208,"drypoint from an illustrated book with 26 aquatints (ten with drypoint, six with engraving, and two with etching), 14 drypoints (one with engraving), and one engraving",8,0.0006437595558059064
209,etching and drypoint from a portfolio of twenty etchings (fifteen with drypoint),8,0.0006437595558059064
210,"etching from an illustrated book with twelve etchings (two with aquatint, two with drypoint, one with aquatint and drypoint) and one drypoint",8,0.0006437595558059064
211,"etching, aquatint and engraving",8,0.0006437595558059064
212,screenprint from an illustrated book with ten screenprints,8,0.0006437595558059064
213,aquatint from an illustrated book with four engravings (one with etching) and two aquatints,8,0.0006437595558059064
214,"rubber-stamped text from an illustrated book with twenty-seven lithographs (fifteen with lithographed manuscript text), seven rubber-stamped texts, five lithographed manuscript texts, and collaged cover",8,0.0006437595558059064
215,chrome-plated metal,8,0.0006437595558059064
216,cast aluminum,8,0.0006437595558059064
217,lithograph from an illustrated book with thirteen lithographs,8,0.0006437595558059064
218,"etching from an illustrated book with twelve etchings (five with aquatint, one with drypoint)",8,0.0006437595558059064
219,lithograph from an illustrated book with ten lithographs and two woodcuts,8,0.0006437595558059064
220,"etching from an album of 16 etchings (one with aquatint, one with drypoint, one with pencil additions), three photogravures (two with etching), and one relief halftone",8,0.0006437595558059064
221,lithograph from an illustrated book with fourteen lithographs,8,0.0006437595558059064
222,"etching from an illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut",8,0.0006437595558059064
223,color pencil on tracing paper,8,0.0006437595558059064
224,"etching, aquatint, and pochoir",7,0.0005632896113301681
225,marble and slate,7,0.0005632896113301681
226,one from an illustrated book with seven woodcuts,7,0.0005632896113301681
227,ink and graphite on paper,7,0.0005632896113301681
228,"aquatint from an illustrated book with thirty aquatints (twenty-one with etching, two with drypoint, one with screenprint), three etchings (two with drypoint), and one lithograph",7,0.0005632896113301681
229,"aquatint from an illustrated book with 26 aquatints (ten with drypoint, six with engraving, and two with etching), 14 drypoints (one with engraving), and one engraving",7,0.0005632896113301681
230,plastic handle and stainless steel blade,7,0.0005632896113301681
231,"woodcut from an illustrated book with six linoleum cuts, three woodcuts, and one lithograph",7,0.0005632896113301681
232,"woodcut from an illustrated book with seven woodcuts, seven etchings (two with aquatint, one with engraving), six lithographs, three drypoints, two engravings, one aquatint, and one linoleum cut",7,0.0005632896113301681
233,graphite and crayon on tracing paper mounted on board,7,0.0005632896113301681
234,"collagraph and aquatint from an illustrated book with ten collagraph and aquatints, one collagraph and etching, and collagraph cover",7,0.0005632896113301681
235,borosilicate glass and cork,7,0.0005632896113301681
236,one from an illustrated book with four woodcuts with watercolor additions (including front cover),7,0.0005632896113301681
237,printed linen,7,0.0005632896113301681
238,etching from an illustrated book with 12 etchings (eight with aquatint),7,0.0005632896113301681
239,offset lithographs,7,0.0005632896113301681
240,ink and ink wash on paper,7,0.0005632896113301681
241,etching from an illustrated book with six etchings,7,0.0005632896113301681
242,linoleum cut from an illustrated book with fourteen linoleum cuts (one with collage additions),7,0.0005632896113301681
243,"raffia, cellophane, and linen",7,0.0005632896113301681
244,graphite on illustration board,7,0.0005632896113301681
245,line block and pochoir from an illustrated book with twenty-two pochoirs (six with line block) and two line blocks on front and back covers,7,0.0005632896113301681
246,gravure and letterpress,7,0.0005632896113301681
247,photomontage,7,0.0005632896113301681
248,glazed pottery,7,0.0005632896113301681
249,one from an illustrated book with ten woodcuts (including duplicate of title page on front cover),7,0.0005632896113301681
250,"etching, drypoint, and pochoir from an illustrated book with 46 etchings (23 with aquatint, 23 with pochoir, eight with drypoint, and eight with watercolor and ink additions)",7,0.0005632896113301681
251,cellophane,7,0.0005632896113301681
252,lithograph and letterpress,7,0.0005632896113301681
253,borosilicate glass,7,0.0005632896113301681
254,"etching and aquatint from an illustrated book with twelve etchings (two with aquatint, two with drypoint, one with aquatint and drypoint) and one drypoint",7,0.0005632896113301681
255,one from an illustrated book with seven lithographs,7,0.0005632896113301681
256,plastic and metal,7,0.0005632896113301681
257,cotton and linen,7,0.0005632896113301681
258,ink on board,6,0.00048281966685442986
259,woodcut from an illustrated book with seventy-five woodcuts and collagraphs (including wrapper front) and five woodcuts (eleven with collage),6,0.00048281966685442986
260,etching over relief halftone reproduction after drawing,6,0.00048281966685442986
261,"etching and aquatint from an illustrated book with sixteen etching and aquatints, nine with drypoint (including wrapper front)",6,0.00048281966685442986
262,curly cherry,6,0.00048281966685442986
263,one from a portfolio of ten photogravures,6,0.00048281966685442986
264,gravure with offset photolithographic cover,6,0.00048281966685442986
265,"etching and pochoir from an illustrated book with 46 etchings (23 with aquatint, 23 with pochoir, eight with drypoint, and eight with watercolor and ink additions)",6,0.00048281966685442986
266,lead crystal,6,0.00048281966685442986
267,oak,6,0.00048281966685442986
268,lithographed manuscript text from an illustrated book with twenty-two lithographs and lithographed manuscript texts,6,0.00048281966685442986
269,photo lithograph,6,0.00048281966685442986
270,birch,6,0.00048281966685442986
271,woodcut from an illustrated book with five woodcuts,6,0.00048281966685442986
272,cover: offset lithograph; interior: letterpress,6,0.00048281966685442986
273,"aquatint and drypoint from an illustrated book with ten aquatints (eight with drypoint, three with etching)",6,0.00048281966685442986
274,pen and ink on paper,6,0.00048281966685442986
275,photographic reproduction with colored synthetic laminate,6,0.00048281966685442986
276,wool and cotton,6,0.00048281966685442986
277,linen and cotton,6,0.00048281966685442986
278,"drypoint from an illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut",6,0.00048281966685442986
279,cover with letterpress illustration on front,6,0.00048281966685442986
280,watercolor and colored ink on paper,6,0.00048281966685442986
281,"screenprint from an illustrated book with nine screenprints (one with lithograph), eight lithographs, and stainless steel cover with digital clock",6,0.00048281966685442986
282,photogravure and letterpress,6,0.00048281966685442986
283,one from an illustrated book with seven etchings with aquatint (including cover),6,0.00048281966685442986
284,mercerized cotton and eisengarn,5,0.00040234972237869157
285,cotton and silk,5,0.00040234972237869157
286,"lithograph from an illustrated book with seven woodcuts, seven etchings (two with aquatint, one with engraving), six lithographs, three drypoints, two engravings, one aquatint, and one linoleum cut",5,0.00040234972237869157
287,etching from a portfolio of twenty etchings (fifteen with drypoint),5,0.00040234972237869157
288,"linoleum cut from an illustrated book with six linoleum cuts, three woodcuts, and one lithograph",5,0.00040234972237869157
289,"aquatint and drypoint from an illustrated book with 26 aquatints (ten with drypoint, six with engraving, and two with etching), 14 drypoints (one with engraving), and one engraving",5,0.00040234972237869157
290,illustrated book with twelve woodcuts,5,0.00040234972237869157
291,illustrated book of three volumes including accordion-folded artist's book with fifty-eight photolithographs,5,0.00040234972237869157
292,plastic-coated steel and canvas-covered polyurethane foam,5,0.00040234972237869157
293,cardboard and paper,5,0.00040234972237869157
294,"lithograph from an illustrated book with nine screenprints (one with lithograph), eight lithographs, and stainless steel cover with digital clock",5,0.00040234972237869157
295,gouache on board,5,0.00040234972237869157
296,glazed cast porcelain,5,0.00040234972237869157
297,laminated corrugated cardboard,5,0.00040234972237869157
298,"etching and aquatint from an illustrated book with twelve etchings (five with aquatint, one with drypoint)",5,0.00040234972237869157
299,glass with gold trim,5,0.00040234972237869157
300,pen and black ink over graphite on illustration board,5,0.00040234972237869157
301,frosted hand-blown glass,5,0.00040234972237869157
302,felt tip pen on tracing paper,5,0.00040234972237869157
303,lithograph from an illustrated book with six lithographs (including ex libris),5,0.00040234972237869157
304,plastic and chrome-plated steel,5,0.00040234972237869157
305,computer-generated plot on paper and silicon,5,0.00040234972237869157
306,magnesia porcelain,5,0.00040234972237869157
307,drypoint from an illustrated book with three drypoints,5,0.00040234972237869157
308,chrome-plated metal and plastic,5,0.00040234972237869157
309,pochoir from an illustrated book with eight pochoirs,5,0.00040234972237869157
310,"aquatint from an illustrated book with ten aquatints (eight with drypoint, three with etching)",5,0.00040234972237869157
311,one from an illustrated book with four etchings,5,0.00040234972237869157
312,one from an illustrated book with four woodcuts,5,0.00040234972237869157
313,graphite on tracing paper mounted on board,5,0.00040234972237869157
314,ramie,5,0.00040234972237869157
315,glazed stoneware,5,0.00040234972237869157
316,pencil on paper from the supplementary suite of four drawings accompanying the illustrated book with eighty-six lithographs (including wrapper),5,0.00040234972237869157
317,"etching over relief halftone, relief printed",5,0.00040234972237869157
318,laminated birch and upholstered cushion,5,0.00040234972237869157
319,lithograph from a periodical with six lithographs,5,0.00040234972237869157
320,"graphite, ink and ink wash on paper",5,0.00040234972237869157
321,illustrated book with six lithographs,5,0.00040234972237869157
322,"offset manuscript and type, and reproductions of photographs",5,0.00040234972237869157
323,charcoal and tracing paper,5,0.00040234972237869157
324,plastic and wood,5,0.00040234972237869157
325,fiberglass,5,0.00040234972237869157
326,"""beetleware"" (urea-formaldehyde plastic)",5,0.00040234972237869157
327,illustrated book with one lithograph with chine appliqué,5,0.00040234972237869157
328,stainless steel wire,5,0.00040234972237869157
329,illustrated book with one etching,5,0.00040234972237869157
330,"aquatint and drypoint over photogravure from an illustrated book with 22 aquatints over photogravure (19 with drypoint, 18 with roulette, five with etching)",5,0.00040234972237869157
331,"etching, aquatint, and engraving from a portfolio with nine etchings (four with aquatint and engraving and one with drypoint) and one engraving",5,0.00040234972237869157
332,acrylic and metal,5,0.00040234972237869157
333,"aquatint from an illustrated book with three aquatints (one with etching), one drypoint, and one lithograph",5,0.00040234972237869157
334,polyester,5,0.00040234972237869157
335,etching and pochoir,5,0.00040234972237869157
336,engraving and drypoint,5,0.00040234972237869157
337,one from an illustrated book with five drypoints,5,0.00040234972237869157
338,"ink, color pencil, gouache, and graphite on spiral-notebook card stock",5,0.00040234972237869157
339,gouache and pencil on paper,4,0.0003218797779029532
340,watercolor and ink on paper,4,0.0003218797779029532
341,aluminum and plastic,4,0.0003218797779029532
342,drypoint on celluloid,4,0.0003218797779029532
343,porcelain with overglaze painted decoration,4,0.0003218797779029532
344,one from an illustrated book with six etchings,4,0.0003218797779029532
345,rosewood and chrome-plated steel,4,0.0003218797779029532
346,63 copperplates,4,0.0003218797779029532
347,hand-painted sculptured glass,4,0.0003218797779029532
348,journal with letterpress cover,4,0.0003218797779029532
349,"molded abs polymer, polyethylene, and polypropylene",4,0.0003218797779029532
350,lithograph and lithographed manuscript text from an illustrated book with twenty-two lithographs and lithographed manuscript texts,4,0.0003218797779029532
351,"graphite, color pencil, and pastel on tracing paper",4,0.0003218797779029532
352,hand-thrown stoneware,4,0.0003218797779029532
353,artist's book of ten color dye transfer photographs,4,0.0003218797779029532
354,tubular steel and canvas,4,0.0003218797779029532
355,unglazed bizen-ware,4,0.0003218797779029532
356,book with ink manuscript text,4,0.0003218797779029532
357,polystyrene,4,0.0003218797779029532
358,ink and cut-and-pasted photographic reproductions,4,0.0003218797779029532
359,illustrated book with ten screenprints,4,0.0003218797779029532
360,illustrated book with 7 lithographs,4,0.0003218797779029532
361,injection-molded polypropylene,4,0.0003218797779029532
362,linocut and letterpress,4,0.0003218797779029532
363,computer-generated print,4,0.0003218797779029532
364,book with eight letterpress illustrations,4,0.0003218797779029532
365,illustrated book with five etchings,4,0.0003218797779029532
366,synthetic polymer paint and ink on paper,4,0.0003218797779029532
367,brass and stainless steel,4,0.0003218797779029532
368,birch and upholstery,4,0.0003218797779029532
369,"etching and drypoint from an illustrated book with nineteen etchings (three with drypoint, two with aquatint, and one with aquatint and embossing) and one engraving",4,0.0003218797779029532
370,letterpress and lineblock,4,0.0003218797779029532
371,"two woodcuts, one gouache, one color photograph, and one acrylic on canvas (cover)",4,0.0003218797779029532
372,glazed cotton,4,0.0003218797779029532
373,gouache and graphite on board,4,0.0003218797779029532
374,etching and aquatint from an illustrated book with 12 etchings (eight with aquatint),4,0.0003218797779029532
375,illustrated book with eleven lithographs,4,0.0003218797779029532
376,painted wrought-iron rod and leather,4,0.0003218797779029532
377,pencil on tracing paper,4,0.0003218797779029532
378,"etching from an illustrated book with four etchings, one with drypoint",4,0.0003218797779029532
379,"wood, plastic and metal",4,0.0003218797779029532
380,"ink, graphite, and gouache on board",4,0.0003218797779029532
381,lithograph from an illustrated book with seven lithographs,4,0.0003218797779029532
382,chrome-plated steel and leather,4,0.0003218797779029532
383,silicon and metal,4,0.0003218797779029532
384,book with collage and letterpress,4,0.0003218797779029532
385,conté crayon on illustration board,4,0.0003218797779029532
386,illustrated book with thirty-two photolithographic reproductions after drawings (including covers),4,0.0003218797779029532
387,chrome-plated brass,4,0.0003218797779029532
388,silkscreen and letterpress,4,0.0003218797779029532
389,print,4,0.0003218797779029532
390,one from an illustrated book with five etchings,4,0.0003218797779029532
391,"offset lithograph and pochoir with ballpoint pen, pencil, and felt-tip pen additions from an illustrated book with eleven offset lithographs (some with rubber stamp, collage, pochoir, watercolor, gouache, crayon, felt-tip pen, ballpoint pen, and pencil additions), two lithographs, two etchings (one with aquatint), one screenprint, and fourteen offset lithograph reproductions",4,0.0003218797779029532
392,"lithograph from an illustrated book with four lithographs, one offset lithograph, one woodcut, one etching with aquatint, one photogravure with hand additions, and one record",4,0.0003218797779029532
393,"carbon fiber, aluminum honeycomb, and dymetrol elastic fiber",4,0.0003218797779029532
394,plastic housing,4,0.0003218797779029532
395,illustrated book with twenty lithographs,4,0.0003218797779029532
396,silvered bronze and favrile glass,4,0.0003218797779029532
397,journal with one special edition project,4,0.0003218797779029532
398,pvc,4,0.0003218797779029532
399,"offset lithograph from an illustrated book with suite of three screenprints, two offset lithographs, and one etching",4,0.0003218797779029532
400,acrylic with aluminum handle,4,0.0003218797779029532
401,nickel,4,0.0003218797779029532
