,publisher,count,frequency
181,"galerie espace, amsterdam",4,0.0007671653241273494
182,"moskovskoe teatral'noe izdatel'stvo, moscow",4,0.0007671653241273494
183,"raduga, moscow/leningrad",4,0.0007671653241273494
184,"logan elm press and papermill, columbus, oh",4,0.0007671653241273494
185,"ancienne maison quantin, libraries-imprimeries réunies, paris",4,0.0007671653241273494
186,"akademischer verband für literatur und musik, vienna",4,0.0007671653241273494
187,"l'arbalète, décines (isère), france",4,0.0007671653241273494
188,"michael singer, new york",4,0.0007671653241273494
189,"edmond deman, brussels",4,0.0007671653241273494
190,"diederick van kleef, amsterdam",4,0.0007671653241273494
191,"krug, moscow-petersburg",4,0.0007671653241273494
192,"éditions erker, st. gall, switzerland (franz larese et jürg  janett)",3,0.0005753739930955121
193,"valentine hugo, paris, paul éluard, paris",3,0.0005753739930955121
194,"konoike transportation co., ltd., osaka",3,0.0005753739930955121
195,"artists poster committee of the art workers coalition,new york, ny",3,0.0005753739930955121
196,"callaway editions inc., new york",3,0.0005753739930955121
197,"safrut, moscow",3,0.0005753739930955121
198,"mourlot, paris",3,0.0005753739930955121
199,"teatr scena stu, krakow",3,0.0005753739930955121
200,"imazhinisty, moscow",3,0.0005753739930955121
201,"orobitz et cie., paris",3,0.0005753739930955121
202,"sistan editions, paris",3,0.0005753739930955121
203,"affiches artistique de la plume, paris",3,0.0005753739930955121
204,"division of information, office for emergency management, washington, d.c.",3,0.0005753739930955121
205,"éditions m. lacourière, paris",3,0.0005753739930955121
206,"verlag gustav kiepenheuer, potsdam",3,0.0005753739930955121
207,"gerlach & wiedling, vienna and leipzig",3,0.0005753739930955121
208,"editions girsberger, zurich",3,0.0005753739930955121
209,"futuristy ""gileia"", moscow",3,0.0005753739930955121
210,"gosudarstvennoe muzykal'noe izdatel'stvo, petersburg",3,0.0005753739930955121
211,"editions of the tibor de nagy gallery, new york",3,0.0005753739930955121
212,"first planning co., ltd., osaka",3,0.0005753739930955121
213,"family dog productions, san francisco",3,0.0005753739930955121
214,"krasnaia nov', moscow",3,0.0005753739930955121
215,anton schroll & co.,3,0.0005753739930955121
216,j. r. vilimek,3,0.0005753739930955121
217,"idisher folks farlag, kiev-st. petersburg",3,0.0005753739930955121
218,"tea-kino-pechat', moscow",3,0.0005753739930955121
219,"galerie krinzinger, vienna",3,0.0005753739930955121
220,"euphorion verlag, berlin",3,0.0005753739930955121
221,"41°, moscow",3,0.0005753739930955121
222,"friedr. steinfels a.g., zurich",3,0.0005753739930955121
223,"franco mello e giorgio persano editori, genoa",3,0.0005753739930955121
224,"antonio frasconi, south norwalk, ct",3,0.0005753739930955121
225,"éditions de la montagne, paris",3,0.0005753739930955121
226,"sea cliff press, new york",3,0.0005753739930955121
227,"r. alistair mcalpine publishing ltd., london",3,0.0005753739930955121
228,"skify, berlin",3,0.0005753739930955121
229,royal society for the prevention of accidents,3,0.0005753739930955121
230,"seth siegelaub, new york, dwan gallery, new york",3,0.0005753739930955121
231,"tetsumi kudo, tokyo",3,0.0005753739930955121
232,"edizioni della pergola, pesaro, italy",3,0.0005753739930955121
233,"transpechat' nkps, moscow",3,0.0005753739930955121
234,"brøndum, copenhagen",3,0.0005753739930955121
235,"ogiz-izogiz (association of state book and magazine publishing houses-state publishing house of the fine arts), moscow and leningrad",3,0.0005753739930955121
236,"richard long, bristol",3,0.0005753739930955121
237,"le soleil noir, paris",3,0.0005753739930955121
238,"editions fawbush, new york, solo press, inc.",3,0.0005753739930955121
239,"tsentrifuga, moscow",3,0.0005753739930955121
240,"moskovskii sovet rabochikh krest'ianskikh i krasnoarmeiskikh deputatov, moscow",3,0.0005753739930955121
241,"nova scotia college of art and design lithography workshop, halifax",3,0.0005753739930955121
242,"vkhutemas, moscow",3,0.0005753739930955121
243,"le bateau lavoir, paris",3,0.0005753739930955121
244,"h. chachoin imp., paris",3,0.0005753739930955121
245,"washburn college, topeka, ks",3,0.0005753739930955121
246,"daisy aldan, new york, richard miller, new york",3,0.0005753739930955121
247,"schomir, moscow",3,0.0005753739930955121
248,"pervyi zhurnal russkikh futuristov, moscow",3,0.0005753739930955121
249,"off design co. ltd., tokyo",3,0.0005753739930955121
250,ufa (universum-film-aktiengesellschaft),3,0.0005753739930955121
251,"karsten schubert, london",3,0.0005753739930955121
252,"gelikon, moscow-berlin",3,0.0005753739930955121
253,"segodniashnii lubok, moscow",3,0.0005753739930955121
254,"s. hirzel, leipzig",3,0.0005753739930955121
255,"jacques matarasso, nice",3,0.0005753739930955121
256,"provinciaal museum hasselt, hasselt, belgium",3,0.0005753739930955121
257,"distributor: hermann, pierre berès, paris",3,0.0005753739930955121
258,"zhuravl', st. petersburg",3,0.0005753739930955121
259,"wolfgang wittrock, kunsthandel, düsseldorf",3,0.0005753739930955121
260,"vasilii kamenskii, tiflis",3,0.0005753739930955121
261,"querschnitt verlag, frankfurt am main",3,0.0005753739930955121
262,"landfall press, inc., chicago",3,0.0005753739930955121
263,"les éditeurs français réunis, paris",2,0.0003835826620636747
264,"éditions des cahiers libres, paris",2,0.0003835826620636747
265,"e.n.s.a.a.d., brussels",2,0.0003835826620636747
266,"zarathustra, milan",2,0.0003835826620636747
267,steinway piano,2,0.0003835826620636747
268,"thomas yoseloff, new york and london",2,0.0003835826620636747
269,"shiseido co. ltd., tokyo",2,0.0003835826620636747
270,"robert j. godet, paris",2,0.0003835826620636747
271,"unknown, petrograd",2,0.0003835826620636747
272,"unknown, paris",2,0.0003835826620636747
273,"wide white space gallery, antwerp, galerie michael werner, cologne",2,0.0003835826620636747
274,"verlag karl lang, darmstadt",2,0.0003835826620636747
275,"bernard jacobson, ltd., london",2,0.0003835826620636747
276,"scalo publishers, berlin, new york, zurich",2,0.0003835826620636747
277,"gerald jackson, new york",2,0.0003835826620636747
278,"lef, moscow-petrograd",2,0.0003835826620636747
279,"molodaia gvardiia, petrograd",2,0.0003835826620636747
280,"industrias cosmo s.a., barcelona",2,0.0003835826620636747
281,"édition baudoin lebon, paris",2,0.0003835826620636747
282,"éditions de la nouvelle revue belgique, brussells",2,0.0003835826620636747
283,"politupravleniia khar'kovskogo voennogo okrug, kharkov",2,0.0003835826620636747
284,"graphis, berlin",2,0.0003835826620636747
285,"william brui, leningrad",2,0.0003835826620636747
286,cwf (centrala wynajmu filmow),2,0.0003835826620636747
287,"éditions cercle d'art, paris",2,0.0003835826620636747
288,"hine editions, san francisco",2,0.0003835826620636747
289,"imschoot, uitgevers, ghent, belgium",2,0.0003835826620636747
290,"howardena pindell, new york",2,0.0003835826620636747
291,"eugen rentsch, zurich, munich, and leipzig",2,0.0003835826620636747
292,"folkskomisariat fer bildung, moscow",2,0.0003835826620636747
293,"izo nkp, moscow",2,0.0003835826620636747
294,"pab (pierre andré benoit), alès and paris",2,0.0003835826620636747
295,"éditions nord sud, paris",2,0.0003835826620636747
296,"mimi smith, new york",2,0.0003835826620636747
297,pascal pia,2,0.0003835826620636747
298,"les éditions de minuit, paris",2,0.0003835826620636747
299,"bibliothèque artistique et littéraire, paris",2,0.0003835826620636747
300,"tomislav slavica, zagreb",2,0.0003835826620636747
301,"les éditions du livre, paris",2,0.0003835826620636747
302,"gruppa druzei khlebnikova, moscow",2,0.0003835826620636747
303,"state publishing house, moscow and leningrad",2,0.0003835826620636747
304,"david grob editions, london, callaway editions inc., new york",2,0.0003835826620636747
305,"hol'fshtrom, kiev",2,0.0003835826620636747
306,"ian burn, new york",2,0.0003835826620636747
307,"circle press, guildford, uk",2,0.0003835826620636747
308,"the nonesuch press, soho (london)",2,0.0003835826620636747
309,"peter freudenthal, stockholm",2,0.0003835826620636747
310,"imo, petrograd",2,0.0003835826620636747
311,"41°, paris",2,0.0003835826620636747
312,"éditions ""cahiers d'art"", paris",2,0.0003835826620636747
313,"edizione artesudio, macerata, italy",2,0.0003835826620636747
314,"vitebsker y.l. peretz gezelshaft, vitebsk",2,0.0003835826620636747
315,"brandywine workshop, philadelphia",2,0.0003835826620636747
316,"shveln, berlin",2,0.0003835826620636747
317,"edition domberger, filderstadt, west germany, parasol press, ltd., new york",2,0.0003835826620636747
318,"picaron editions, paris",2,0.0003835826620636747
319,"lapis press, venice, ca (sam francis)",2,0.0003835826620636747
320,"poltroon press, berkeley",2,0.0003835826620636747
321,"taran, sevastopol",2,0.0003835826620636747
322,"montanari editores, buenos aires",2,0.0003835826620636747
323,"derzhavne vydavnytstvo ukrainy, kharkov-kiev",2,0.0003835826620636747
324,"giorgio upiglio & c., milan, edizioni d'arte grafica uno, milan",2,0.0003835826620636747
325,"rabotnik prosveshcheniia, moscow",2,0.0003835826620636747
326,"edition hossmann, hamburg",2,0.0003835826620636747
327,"krug, moscow-petrograd",2,0.0003835826620636747
328,"brooke alexander, inc., new york",2,0.0003835826620636747
329,"albert skira, paris",2,0.0003835826620636747
330,"wiener werkstätte, vienna",2,0.0003835826620636747
331,unknown,2,0.0003835826620636747
332,imperial airways,2,0.0003835826620636747
333,"gerald laing, new york",2,0.0003835826620636747
334,"éditions de pierre lecuire, paris",2,0.0003835826620636747
335,london underground,2,0.0003835826620636747
336,"ives-sillman, new haven, ct, harry n. abrams, inc., new york",2,0.0003835826620636747
337,"aleksandr shevchenko, moscow",2,0.0003835826620636747
338,"erker-presse, st. gallen, switzerland",2,0.0003835826620636747
339,"galerie michael werner, cologne",2,0.0003835826620636747
340,london transport,2,0.0003835826620636747
341,"rodney phillips and company, london",2,0.0003835826620636747
342,"éditions georges visat, paris",2,0.0003835826620636747
343,"nierendorf gallery, new york",2,0.0003835826620636747
344,"manus press, stuttgart",2,0.0003835826620636747
345,"der idisher sektsie bam kamisariat far folkbildung, berlin",2,0.0003835826620636747
346,"vserossiiskii soiuz poetov, moscow",2,0.0003835826620636747
347,"sunda el taller, buenos aires",2,0.0003835826620636747
348,"pace editions, inc., new york, hudson hills press, inc., new york",2,0.0003835826620636747
349,"éditions falaize, paris",2,0.0003835826620636747
350,"anthony d'offay gallery, london",2,0.0003835826620636747
351,"editions marval, paris",2,0.0003835826620636747
352,"the press of the nova scotia college of art and design, halifax",2,0.0003835826620636747
353,"federatsiia, moscow",2,0.0003835826620636747
354,"éditions saint-germain-des-près, paris",2,0.0003835826620636747
355,"werbedienst der deutschen republik, berlin",2,0.0003835826620636747
356,"vilbur gress, moscow",2,0.0003835826620636747
357,"tyler graphics ltd., bedford, ct and new york",2,0.0003835826620636747
358,"zakkniga (book of the caucasus), tiflis",2,0.0003835826620636747
359,georges hugnet,2,0.0003835826620636747
360,"taller de gráfica popular, mexico city",2,0.0003835826620636747
361,"vehicle editions, new york",2,0.0003835826620636747
362,"nouveau cercle parisien du livre, paris",2,0.0003835826620636747
363,"michael woolworth lithographie, paris",2,0.0003835826620636747
364,"ministerio de propaganda, spain",2,0.0003835826620636747
365,"varvara stepanova, moscow",2,0.0003835826620636747
366,"thierry bouchard, paris",2,0.0003835826620636747
367,"wols (a. o. wolfgang schulze), paris, rené de solier, paris",2,0.0003835826620636747
368,"chez françoise simecek éditeur, lausanne",2,0.0003835826620636747
369,"andy warhol, new york",2,0.0003835826620636747
370,"société des expositions, brussels, petersburg press, london",2,0.0003835826620636747
371,"eye editions, cincinnati",2,0.0003835826620636747
372,"vereinigung zur bekämpfung des bolschewismus, berlin",2,0.0003835826620636747
373,"erie litho. co., n.y.",2,0.0003835826620636747
374,"éditions hémisphères, paris",2,0.0003835826620636747
375,"gisela capitain, cologne, thea westreich, new york",1,0.00019179133103183735
376,"june wayne, los angeles",1,0.00019179133103183735
377,the gas light and coke company,1,0.00019179133103183735
378,"les écrivains réunis, paris",1,0.00019179133103183735
379,"internacional de ediciones, bogotá",1,0.00019179133103183735
380,"izo nkp, petersburg",1,0.00019179133103183735
381,"de hooge brug, amsterdam",1,0.00019179133103183735
382,"éditions du bélier, paris",1,0.00019179133103183735
383,"collection ""littérature"", paris",1,0.00019179133103183735
384,"khudozhestvennaia literatura, moscow-leningrad",1,0.00019179133103183735
385,"state publishing house, moscow and leningrad, petrograd",1,0.00019179133103183735
386,"anselm kiefer, hornbach",1,0.00019179133103183735
387,boy scouts of america,1,0.00019179133103183735
388,"librairie josé corti, paris",1,0.00019179133103183735
389,"galerie berggruen, paris, galerie schwarz, milan",1,0.00019179133103183735
390,"iugo-lef, odessa",1,0.00019179133103183735
391,"vladimir mayakovsky, moscow",1,0.00019179133103183735
392,"moskovskii rabochii, moscow",1,0.00019179133103183735
393,"petropolis, berlin",1,0.00019179133103183735
394,"komitee des sowjet-pavillons auf der internationalen presse-austellung, cologne",1,0.00019179133103183735
395,"strelets, st. petersburg",1,0.00019179133103183735
396,"knife edge press, london",1,0.00019179133103183735
397,"lapp princess press, new york, in association with printed matter, new york",1,0.00019179133103183735
398,"proletar, kharkov",1,0.00019179133103183735
399,"decla film gesellschaft, berlin",1,0.00019179133103183735
400,"inanout press, new york",1,0.00019179133103183735
401,"kelsey street press, berkeley, ca",1,0.00019179133103183735
402,"kuranty, tiflis",1,0.00019179133103183735
403,"lebeer hossmann éditeurs, brussels and hamburg (first edition, the artist, nice)",1,0.00019179133103183735
404,"bullet space, new york",1,0.00019179133103183735
405,"propyläen-verlag, berlin",1,0.00019179133103183735
406,"edition domberger, stuttgart",1,0.00019179133103183735
407,"galerie alexandre iolas, paris, new york, geneva, milan, rome, and madrid",1,0.00019179133103183735
408,"obshchestvo evreiskoi muzyki, moscow",1,0.00019179133103183735
409,"merle spandorfer, philadelphia",1,0.00019179133103183735
410,"futuristy ""gileia"", kherson",1,0.00019179133103183735
411,"gosudarstvennoe tekhnicheskoe izdatel'stvo, moscow",1,0.00019179133103183735
412,"p.a. nicaise, éditeur, paris",1,0.00019179133103183735
413,"broom, berlin-new york",1,0.00019179133103183735
414,"ugt (union general de trabajadores/general workers' union), barcelona, sdp (sindicat de dibuixants professionals)",1,0.00019179133103183735
415,"kinopechat', moscow-leningrad",1,0.00019179133103183735
416,"bespredmetniki, petrograd",1,0.00019179133103183735
417,"vereinigung bildender künstler österreichs, vienna",1,0.00019179133103183735
418,"unovis, vitebsk",1,0.00019179133103183735
419,"probably städtische bühnen, frankfurt",1,0.00019179133103183735
420,"l'estampe et l'affiche, paris",1,0.00019179133103183735
421,"brentano's, new york",1,0.00019179133103183735
422,"v.s.f.k., moscow",1,0.00019179133103183735
423,"a black star book/ random house, new york",1,0.00019179133103183735
424,"strobridge litho. co., cincinnati",1,0.00019179133103183735
425,"molodaia gvardiia, moscow-leningrad",1,0.00019179133103183735
426,"olaf wegewitz, munich",1,0.00019179133103183735
427,czechoslovak ministry of information,1,0.00019179133103183735
428,"cut-chain press, london",1,0.00019179133103183735
429,"folies-bergère, paris",1,0.00019179133103183735
430,"artel' khudozhestvennogo truda pri vitsvomas (vitebskikh svobodnykh masterskikh), vitebsk",1,0.00019179133103183735
431,"obshchestvo arkhitektorov-khudozhnikov, leningrad",1,0.00019179133103183735
432,"euy, moscow",1,0.00019179133103183735
433,"yves rivière éditeur, paris",1,0.00019179133103183735
434,"willis locker & owens publishing, new york",1,0.00019179133103183735
435,"pantheon books, new york",1,0.00019179133103183735
436,"haybarn press, mount kisco, ny",1,0.00019179133103183735
437,"à la fontaine de vaucluse, paris",1,0.00019179133103183735
438,"karen eubel, new york",1,0.00019179133103183735
439,"impr. de j. pueyo, madrid",1,0.00019179133103183735
440,"herman igell, stockholm, éditions du dragon, paris",1,0.00019179133103183735
441,"n.f.c., tokyo",1,0.00019179133103183735
442,"narkomtorgov, russia",1,0.00019179133103183735
443,"éditions georges visat & cie., paris",1,0.00019179133103183735
444,"l'estampe originale, paris",1,0.00019179133103183735
445,"internationale arbeiterhilfe, berlin",1,0.00019179133103183735
446,"louis broder, paris, louis broder, paris",1,0.00019179133103183735
447,"something else press, inc.",1,0.00019179133103183735
448,"howard yezerski gallery, boston",1,0.00019179133103183735
449,"xxe siècle éditions, paris",1,0.00019179133103183735
450,"vasilii kamenskii, moscow",1,0.00019179133103183735
451,"asis, moscow",1,0.00019179133103183735
452,"ministerio de cultura, barcelona, junta de andalucia",1,0.00019179133103183735
453,industria argentina,1,0.00019179133103183735
454,pace wildenstein,1,0.00019179133103183735
455,"daniel lelong, éditeur, paris",1,0.00019179133103183735
456,"à la belle édition, paris",1,0.00019179133103183735
457,"teatr wielki, warsaw",1,0.00019179133103183735
458,"alexandra exter, moscow, liubov popova, moscow, aleksandr rodchenko, moscow, varvara stepanova, moscow, aleksandr vesnin, moscow",1,0.00019179133103183735
459,"da burde, florence",1,0.00019179133103183735
460,"galerie daniel cordier, paris",1,0.00019179133103183735
461,"teatr dramatyczny, warsaw",1,0.00019179133103183735
462,"picaron editions, amsterdam",1,0.00019179133103183735
463,"edition malerbucher, berlin",1,0.00019179133103183735
464,"vserossisskii soiuz poetov (all-russian union of poets), moscow",1,0.00019179133103183735
465,"unknown, vitebsk",1,0.00019179133103183735
466,"ferdinand larcier, brussels",1,0.00019179133103183735
467,"marlborough graphics ltd., london, george weidenfeld & nicolson, london",1,0.00019179133103183735
468,"print craft inc., brighton, mn",1,0.00019179133103183735
469,"okabe silkscreen studio, tokyo",1,0.00019179133103183735
470,"w.f. powers co. litho., new york",1,0.00019179133103183735
471,"ejnar munksgaards forlag, copenhagen",1,0.00019179133103183735
472,"michael woolworth publications, paris",1,0.00019179133103183735
473,"gosudarstvennoe izdatel'stvo (state publishing house), moscow-leningrad",1,0.00019179133103183735
474,"shark's inc., lyons, co",1,0.00019179133103183735
475,"osiris visions ltd., london",1,0.00019179133103183735
476,"teuscher editions (wayne adams), new york",1,0.00019179133103183735
477,"bruce conner, san francisco, michael mcclure, san francisco",1,0.00019179133103183735
478,"mysl', moscow-petrograd",1,0.00019179133103183735
479,"stephen white, cleveland and chapel hill",1,0.00019179133103183735
480,"gosudarstvennoe izdatel'stvo (state publishing house), moscow-berlin",1,0.00019179133103183735
481,g. clement,1,0.00019179133103183735
